Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0078  0.4800       0.96852      0.19502      -1.63287     0.21145      0.00256      -0.08844     -0.15112     -0.01400     -0.17382     byEQ         
lammps_0079  0.4800       0.96913      0.19662      -1.58707     0.26870      0.00187      -0.08925     -0.14996     -0.01469     -0.17451     byEQ         
lammps_0080  0.4800       0.97006      0.19544      -1.56506     0.16853      0.00047      -0.08984     -0.14994     -0.01422     -0.17451     byEQ         
lammps_0081  0.4800       0.96994      0.18900      -1.68559     0.06795      0.00279      -0.08776     -0.14939     -0.01550     -0.17319     byEQ         
lammps_0082  0.4800       0.97013      0.19533      -1.61883     0.21702      0.00035      -0.08924     -0.15069     -0.01397     -0.17470     byEQ         
lammps_0083  0.4800       0.97070      0.19940      -1.63782     0.41284      0.00047      -0.09454     -0.15498     -0.01608     -0.17876     byEQ         
lammps_0084  0.4800       0.97036      0.19892      -1.60542     0.43376      -0.00003     -0.09158     -0.15258     -0.01912     -0.17871     byEQ         
lammps_0085  0.4800       0.96979      0.20521      -1.55558     0.52283      0.00243      -0.09047     -0.15293     -0.01380     -0.17523     byEQ         
lammps_0086  0.4800       0.96880      0.20424      -1.54067     0.47263      0.00077      -0.08630     -0.14669     -0.01556     -0.17100     byEQ         
lammps_0087  0.4800       0.96993      0.19907      -1.59915     0.41665      0.00214      -0.08996     -0.14990     -0.01916     -0.17631     byEQ         
lammps_0088  0.4800       0.97034      0.18950      -1.73974     0.12300      -0.00010     -0.08829     -0.15082     -0.01774     -0.17535     byEQ         
lammps_0089  0.4800       0.97099      0.19788      -1.52707     0.19847      0.00244      -0.08926     -0.15060     -0.01322     -0.17359     byEQ         
lammps_0090  0.4800       0.97046      0.19513      -1.61627     0.21061      -0.00007     -0.08901     -0.14969     -0.01469     -0.17459     byEQ         
lammps_0091  0.4800       0.97115      0.19701      -1.57993     0.21787      0.00268      -0.08859     -0.14984     -0.01389     -0.17407     byEQ         
lammps_0092  0.4800       0.97027      0.20144      -1.53361     0.41515      0.00250      -0.09211     -0.15368     -0.01539     -0.17843     byEQ         
lammps_0093  0.4800       0.97175      0.20177      -1.60594     0.44981      0.00024      -0.09387     -0.15441     -0.01621     -0.17848     byEQ         
lammps_0094  0.4800       0.97187      0.20084      -1.61871     0.41812      0.00021      -0.09127     -0.15213     -0.01697     -0.17700     byEQ         
lammps_0095  0.4800       0.97195      0.20081      -1.61010     0.40340      0.00221      -0.09165     -0.15221     -0.01643     -0.17643     byEQ         
lammps_0096  0.4800       0.97256      0.18691      -1.76131     0.04511      0.00046      -0.08671     -0.14813     -0.01607     -0.17278     byEQ         
lammps_0097  0.4800       0.97208      0.20214      -1.45448     0.27284      0.00255      -0.08787     -0.14598     -0.01438     -0.17214     byEQ         
lammps_0098  0.4800       0.97222      0.19950      -1.64185     0.41132      0.00001      -0.09342     -0.15332     -0.01690     -0.17824     byEQ         
lammps_0099  0.4800       0.97169      0.20139      -1.59632     0.45120      -0.00036     -0.08998     -0.14895     -0.01866     -0.17649     byEQ         
lammps_0100  0.4800       0.97297      0.18891      -1.73099     0.10095      0.00298      -0.08799     -0.14949     -0.01681     -0.17406     byEQ         
lammps_0101  0.4800       0.97238      0.20466      -1.40009     0.37258      0.00009      -0.09188     -0.15334     -0.01487     -0.17707     byEQ         
lammps_0102  0.4800       0.97258      0.18917      -1.68577     0.05028      0.00241      -0.08586     -0.14373     -0.02014     -0.17321     byEQ         
lammps_0103  0.4400       0.93803      0.18894      -1.97267     0.68776      0.00493      -0.08683     -0.14915     -0.01864     -0.17022     byEQ         
lammps_0104  0.4400       0.93812      0.18903      -1.97225     0.68629      0.00495      -0.08718     -0.14982     -0.01819     -0.17081     byEQ         
lammps_0105  0.4400       0.93981      0.18895      -1.96895     0.68950      0.00380      -0.08731     -0.15046     -0.01709     -0.17137     byEQ         
lammps_0106  0.4600       0.94461      0.17656      -2.01161     0.20426      0.00382      -0.08154     -0.14291     -0.01962     -0.16786     byEQ         
